Country,Score_Result_Average,Count_of_Universities,International_Students,Percentage_Female_agg,Percentage_Male_agg
Algeria,18.1625,8,0.007500000000000001,0.5975,0.4025
Argentina,17.75,4,0.025,0.63,0.37
Australia,49.71714285714286,35,0.2837142857142857,0.5611764705882353,0.43882352941176467
Austria,43.47272727272728,11,0.25,0.49,0.5099999999999999
Bangladesh,16.3,1,0.0,0.42,0.58
Belarus,18.7,1,0.09,0.55,0.45
Belgium,54.31250000000001,8,0.19,0.53125,0.46875
Brazil,19.98695652173914,46,0.009347826086956524,0.5081818181818182,0.4918181818181818
Brunei Darussalam,42.3,1,0.15,0.67,0.33
Bulgaria,17.5,1,0.06,0.65,0.35
Canada,46.053333333333335,30,0.18666666666666668,0.5551851851851852,0.4448148148148148
Chile,23.811111111111114,18,0.02333333333333334,0.49235294117647055,0.5076470588235293
China,33.04938271604937,81,0.05592592592592589,0.45333333333333337,0.5466666666666666
Colombia,22.450000000000003,8,0.01125,0.50125,0.49875
Costa Rica,34.8,1,0.02,0.53,0.47
Croatia,24.85,2,0.025,0.59,0.41
Cuba,17.0,1,0.07,0.71,0.29
Cyprus,43.1,2,0.095,0.6000000000000001,0.4
Czech Republic,21.682352941176465,17,0.13882352941176473,0.5529411764705883,0.44705882352941173
Denmark,51.62857142857142,7,0.17142857142857146,0.51,0.49000000000000005
Egypt,24.99,20,0.018500000000000003,0.5134999999999998,0.4865000000000001
Estonia,31.63333333333333,3,0.11333333333333334,0.6133333333333334,0.3866666666666667
Finland,44.95555555555555,9,0.10555555555555557,0.52625,0.47375
France,40.41578947368422,38,0.20789473684210533,0.4807894736842105,0.5192105263157895
Georgia,12.9,1,0.02,0.62,0.38
Germany,51.318749999999994,48,0.16354166666666667,0.48739130434782607,0.5126086956521739
Ghana,22.7,1,0.01,0.45,0.55
Greece,30.610000000000007,10,0.048,0.519,0.481
Hong Kong,62.41666666666666,6,0.37000000000000005,0.575,0.42500000000000004
Hungary,25.950000000000003,8,0.16125,0.54625,0.45375
Iceland,44.6,2,0.1,0.54,0.45999999999999996
India,26.175000000000008,56,0.01839285714285715,0.33563636363636357,0.6643636363636365
Indonesia,19.683333333333334,6,0.03833333333333334,0.5033333333333333,0.49666666666666665
Iran,25.904999999999994,40,0.014000000000000004,0.5287499999999998,0.4712500000000002
Iraq,21.25,2,0.0,0.595,0.405
Ireland,43.73333333333333,9,0.2422222222222222,0.5399999999999999,0.45999999999999996
Israel,42.55,6,0.08,0.5416666666666667,0.4583333333333333
Italy,40.768888888888895,45,0.06644444444444444,0.5477777777777777,0.45222222222222225
Jamaica,36.0,1,0.01,0.71,0.29
Japan,23.475454545454546,110,0.041909090909090875,0.3656880733944953,0.6343119266055047
Jordan,24.919999999999998,5,0.10600000000000001,0.606,0.394
Kazakhstan,20.2,2,0.075,0.55,0.45
Kenya,26.3,1,0.01,0.36,0.64
Kuwait,24.4,1,0.15,0.75,0.25
Latvia,19.599999999999998,3,0.06,0.5166666666666667,0.48333333333333334
Lebanon,31.433333333333337,3,0.14666666666666667,0.5466666666666667,0.4533333333333333
Lithuania,20.7,3,0.08333333333333333,0.5033333333333333,0.49666666666666665
Luxembourg,53.7,1,0.49,0.51,0.49
Macao,47.3,2,0.5800000000000001,0.565,0.435
Malaysia,27.800000000000004,13,0.1207692307692308,0.5623076923076924,0.43769230769230766
Malta,28.8,1,0.09,0.58,0.42
Mexico,16.53529411764706,17,0.01823529411764706,0.511875,0.48812500000000003
Montenegro,15.4,1,0.02,0.56,0.44
Morocco,21.175,4,0.025,0.5175000000000001,0.4825
Nepal,19.0,1,0.0,0.45,0.55
Netherlands,61.4923076923077,13,0.22153846153846152,0.515,0.48499999999999993
New Zealand,43.375,8,0.2925,0.56125,0.43875
Nigeria,30.625000000000004,4,0.005,0.47,0.53
Northern Cyprus,25.1,1,0.83,0.41,0.59
Norway,46.42,5,0.14,0.576,0.42400000000000004
Oman,22.7,1,0.04,0.5,0.5
Pakistan,21.45,14,0.014285714285714287,0.4242857142857142,0.5757142857142857
Peru,30.45,2,0.015,0.565,0.43500000000000005
Philippines,31.2,2,0.02,0.54,0.45999999999999996
Poland,20.72857142857143,14,0.0442857142857143,0.56,0.44
Portugal,31.446153846153848,13,0.12230769230769233,0.5338461538461539,0.4661538461538462
Puerto Rico,25.2,1,0.01,0.58,0.42
Qatar,42.2,1,0.38,0.76,0.24
Romania,17.299999999999997,9,0.060000000000000005,0.5633333333333334,0.4366666666666666
Russian Federation,23.802564102564098,39,0.13256410256410256,0.46685714285714275,0.5331428571428573
Saudi Arabia,37.728571428571435,7,0.13428571428571429,0.5071428571428572,0.4928571428571428
Singapore,77.4,2,0.275,0.495,0.505
Slovakia,17.275,4,0.07,0.4675,0.5325
Slovenia,26.25,2,0.055,0.575,0.42500000000000004
South Africa,38.15,10,0.081,0.576,0.42400000000000004
South Korea,34.61290322580645,31,0.09612903225806448,0.44458333333333333,0.5554166666666668
Spain,30.797777777777778,45,0.09799999999999999,0.543111111111111,0.456888888888889
Sri Lanka,27.9,2,0.01,0.61,0.39
Sweden,51.116666666666674,12,0.12583333333333335,0.55,0.45
Switzerland,57.3909090909091,11,0.33272727272727276,0.4929999999999999,0.5070000000000001
Taiwan,24.961111111111116,36,0.08833333333333335,0.46085714285714285,0.5391428571428571
Tanzania,16.8,1,0.0,0.32,0.68
Thailand,19.68125,16,0.018125000000000002,0.596875,0.40312499999999996
Tunisia,18.683333333333334,6,0.01,0.6683333333333333,0.3316666666666667
Turkey,21.25882352941177,34,0.04147058823529413,0.47117647058823536,0.5288235294117646
Uganda,35.1,1,0.08,0.45,0.55
Ukraine,16.816666666666666,6,0.08666666666666667,0.4959999999999999,0.504
United Arab Emirates,36.175,4,0.475,0.625,0.375
United Kingdom,43.94499999999999,100,0.28440000000000015,0.5588000000000001,0.44120000000000004
United States,50.10813953488368,172,0.13406976744186033,0.5107831325301202,0.4892168674698799
Venezuela,15.55,2,0.0,0.52,0.48
Vietnam,21.666666666666668,3,0.01,0.385,0.615
